1,1/5/2015,0
1,2/5/2015,0
1,3/5/2015,0
1,4/5/2015,1
1,5/5/2015,0
1,6/5/2015,1
1,7/5/2015,1
1,8/5/2015,1
1,9/5/2015,0
1,10/5/2015,1
1,11/5/2015,1
1,12/5/2015,0
1,13/5/2015,1
1,14/5/2015,1
1,15/5/2015,0
1,16/5/2015,1
1,17/5/2015,0
1,18/5/2015,1
1,19/5/2015,1
1,20/5/2015,1
1,21/5/2015,0
1,22/5/2015,1
1,23/5/2015,1
1,24/5/2015,0
1,25/5/2015,0
1,26/5/2015,0
1,27/5/2015,0
1,28/5/2015,1
1,29/5/2015,1
1,30/5/2015,1
2,1/5/2015,0
2,2/5/2015,0
2,3/5/2015,0
2,4/5/2015,0
2,5/5/2015,1
2,6/5/2015,0
2,7/5/2015,1
2,8/5/2015,0
2,9/5/2015,1
2,10/5/2015,0
2,11/5/2015,1
2,12/5/2015,1
2,13/5/2015,1
2,14/5/2015,0
2,15/5/2015,1
2,16/5/2015,1
2,17/5/2015,0
2,18/5/2015,0
2,19/5/2015,0
2,20/5/2015,0
2,21/5/2015,1
2,22/5/2015,0
2,23/5/2015,0
2,24/5/2015,0
2,25/5/2015,0
2,26/5/2015,1
2,27/5/2015,0
2,28/5/2015,1
2,29/5/2015,1
2,30/5/2015,1
3,1/5/2015,0
3,2/5/2015,0
3,3/5/2015,1
3,4/5/2015,1
3,5/5/2015,1
3,6/5/2015,0
3,7/5/2015,0
3,8/5/2015,0
3,9/5/2015,0
3,10/5/2015,1
3,11/5/2015,1
3,12/5/2015,0
3,13/5/2015,1
3,14/5/2015,1
3,15/5/2015,0
3,16/5/2015,1
3,17/5/2015,1
3,18/5/2015,0
3,19/5/2015,1
3,20/5/2015,1
3,21/5/2015,1
3,22/5/2015,1
3,23/5/2015,1
3,24/5/2015,0
3,25/5/2015,1
3,26/5/2015,1
3,27/5/2015,1
3,28/5/2015,0
3,29/5/2015,1
3,30/5/2015,1
4,1/5/2015,1
4,2/5/2015,1
4,3/5/2015,0
4,4/5/2015,1
4,5/5/2015,0
4,6/5/2015,1
4,7/5/2015,1
4,8/5/2015,1
4,9/5/2015,1
4,10/5/2015,0
4,11/5/2015,1
4,12/5/2015,0
4,13/5/2015,1
4,14/5/2015,1
4,15/5/2015,1
4,16/5/2015,1
4,17/5/2015,1
4,18/5/2015,0
4,19/5/2015,1
4,20/5/2015,1
4,21/5/2015,1
4,22/5/2015,1
4,23/5/2015,1
4,24/5/2015,0
4,25/5/2015,1
4,26/5/2015,1
4,27/5/2015,1
